Winkel;Force left;Force right;Total press force;Kanal LENKIMAS DS;Kanal LENKIMAS OS;Kanal TARP PUANSONU;Kanal ROUND PUNCH;OS DOUBLE;DS DOUBLE;PLOTIS OS;SLIDE
6,000;0,000;0,000;0,000;0,000;22,000;-22,000;-45,000;0,000;0,183;1999,939;0,183
6,100;0,000;0,000;0,000;0,000;22,000;-22,000;-45,000;0,061;0,183;1999,939;0,122
6,200;0,000;0,000;0,000;0,000;22,000;-22,000;-45,000;0,000;0,244;1999,939;0,183
6,300;0,000;0,000;0,000;0,000;22,000;-22,000;-45,000;0,061;0,244;1999,939;0,183
6,400;0,000;0,000;0,000;0,000;22,000;-22,000;-45,000;0,000;0,122;1999,939;0,183
6,500;0,000;0,000;0,000;0,000;22,000;-22,000;-45,000;0,000;0,122;1999,939;0,244
6,600;0,000;0,000;0,000;0,000;22,000;-22,000;-45,000;-0,061;0,122;1999,939;0,122
6,700;0,000;0,000;0,000;0,000;22,000;-22,000;-45,000;0,000;0,183;1999,939;0,183
6,800;0,000;0,000;0,000;0,000;22,000;-22,000;-45,000;0,122;0,122;1999,939;0,183
6,900;0,000;0,000;0,000;0,000;22,000;-22,000;-45,000;-0,122;0,183;1999,939;0,122
7,000;0,000;0,000;0,000;0,000;22,000;-22,000;-45,000;0,000;0,244;1999,939;0,061
7,100;0,000;0,000;0,000;0,000;22,000;-22,000;-45,000;0,122;0,183;1999,939;0,183
7,200;0,000;0,000;0,000;0,000;22,000;-22,000;-45,000;0,000;0,183;1999,939;0,061
7,300;0,000;0,000;0,000;0,000;22,000;-22,000;-45,000;0,061;0,183;1999,939;0,183
7,400;0,000;0,000;0,000;0,000;22,000;-22,000;-45,000;0,061;0,305;1999,939;0,122
7,500;0,000;0,000;0,000;0,000;22,000;-22,000;-45,000;-0,122;0,244;1999,939;0,122
7,600;0,000;0,000;0,000;0,000;22,000;-22,000;-45,000;0,000;0,122;1999,939;0,183
7,700;0,000;0,000;0,000;0,000;22,000;-22,000;-45,000;0,000;0,122;1999,939;0,183
7,800;0,000;0,000;0,000;0,000;22,000;-22,000;-45,000;-0,061;0,244;1999,939;0,183
7,900;0,000;0,000;0,000;0,000;22,000;-22,000;-45,000;0,000;0,122;1999,939;0,244
8,000;0,000;0,000;0,000;0,000;22,000;-22,000;-45,000;-0,061;0,183;1999,939;0,244
8,100;0,000;0,000;0,000;0,000;22,000;-22,000;-45,000;0,061;0,183;1999,939;0,122
8,200;0,000;0,000;0,000;0,000;22,000;-22,000;-45,000;0,000;0,244;1999,939;0,183
8,300;0,000;0,000;0,000;0,000;22,000;-22,000;-45,000;0,183;0,183;1999,939;0,122
8,400;0,000;0,000;0,000;0,000;22,000;-22,000;-45,000;0,061;0,122;1999,939;0,183
8,500;0,000;0,000;0,000;0,000;22,000;-22,000;-45,000;0,122;0,366;1999,939;0,244
8,600;0,000;0,000;0,000;0,000;22,000;-22,000;-45,000;0,000;0,183;1999,939;0,183
8,700;0,000;0,000;0,000;0,000;22,000;-22,000;-45,000;-0,122;0,122;1999,939;0,122
8,800;0,000;0,000;0,000;0,000;22,000;-22,000;-53,229;0,061;0,122;1999,939;0,183
8,900;0,000;0,000;0,000;0,000;22,000;-22,000;-59,771;-0,061;0,183;1999,939;0,183
9,000;0,000;0,000;0,000;0,000;22,000;-22,000;-45,000;0,061;0,305;1999,939;0,061
9,100;0,000;0,000;0,000;0,000;22,000;-22,000;-45,000;0,000;0,244;1999,939;0,244
9,200;0,000;0,000;0,000;0,000;22,000;-22,000;-45,000;-0,061;0,183;1999,939;0,122
9,300;0,000;0,000;0,000;0,000;22,000;-22,000;-53,229;0,000;0,183;1999,939;0,183
9,400;0,000;0,000;0,000;0,000;22,000;-22,000;-68,000;0,061;0,183;1999,939;0,305
9,500;0,000;0,000;0,000;0,000;22,000;-22,000;-68,000;0,000;0,244;1999,939;0,122
9,600;0,000;0,000;0,000;0,000;22,000;-22,000;-68,000;0,000;0,244;1999,939;0,122
9,700;0,000;0,000;0,000;0,000;22,000;-22,000;-68,000;0,000;0,183;1999,939;0,183
9,800;0,000;0,000;0,000;0,000;22,000;-22,000;-68,000;0,183;0,305;1999,939;0,122
9,900;0,000;0,000;0,000;0,000;22,000;-22,000;-68,000;-0,061;0,122;1999,939;0,183
10,000;0,000;0,000;0,000;0,000;22,000;-22,000;-68,000;0,000;0,061;1999,939;0,183
10,100;0,000;0,000;0,000;0,000;22,000;-22,000;-68,000;0,000;0,183;1999,939;0,122
10,200;0,000;0,000;0,000;0,000;22,000;-22,000;-68,000;0,000;0,244;1999,939;0,244
10,300;0,000;0,000;0,000;0,000;22,000;-22,000;-68,000;-0,061;0,122;1999,939;0,122
10,400;0,000;0,000;0,000;0,000;22,000;-22,000;-68,000;0,122;0,244;1999,939;0,122
10,500;0,000;0,000;0,000;0,000;22,000;-22,000;-68,000;-0,061;0,305;1999,939;0,122
10,600;0,000;0,000;0,000;0,000;22,000;-22,000;-68,000;0,000;0,183;1999,939;0,183
10,700;0,000;0,000;0,000;0,000;22,000;-22,000;-68,000;0,061;0,183;1999,939;0,183
10,800;0,000;0,000;0,000;0,000;22,000;-22,000;-68,000;-0,122;0,122;1999,939;0,305
10,900;0,000;0,000;0,000;0,000;22,000;-22,000;-68,000;0,061;0,305;1999,939;0,305
11,000;0,000;0,000;0,000;0,000;22,000;-22,000;-68,000;0,000;0,183;1999,939;0,122
11,100;0,000;0,000;0,000;0,000;22,000;-22,000;-68,000;0,122;0,305;1999,939;0,244
11,200;0,000;0,000;0,000;0,000;22,000;-22,000;-68,000;0,061;0,244;1999,939;0,122
11,300;0,000;0,000;0,000;0,000;22,000;-22,000;-68,000;0,061;0,244;1999,939;0,183
11,400;0,000;0,000;0,000;0,000;22,000;-22,000;-68,000;0,000;0,122;1999,939;0,122
11,500;0,000;0,000;0,000;0,000;22,000;-22,000;-68,000;0,122;0,183;1999,939;0,122
11,600;0,000;0,000;0,000;0,000;22,000;-22,000;-68,000;-0,061;0,122;1999,939;0,244
11,700;0,000;0,000;0,000;0,000;22,000;-22,000;-68,000;0,183;0,183;1999,939;0,122
11,800;0,000;0,000;0,000;0,000;22,000;-22,000;-68,000;0,000;0,122;1999,939;0,183
11,900;0,000;0,000;0,000;0,000;22,000;-22,000;-68,000;0,000;0,000;1999,939;0,183
12,000;0,000;0,000;0,000;0,000;22,000;-22,000;-68,000;0,000;0,122;1999,939;0,183
12,100;0,000;0,000;0,000;0,000;22,000;-22,000;-68,000;0,061;0,122;1999,939;0,305
12,200;0,000;0,000;0,000;0,000;22,000;-22,000;-68,000;0,000;0,122;1999,939;0,183
12,300;0,000;0,000;0,000;0,000;22,000;-22,000;-68,000;0,000;0,183;1999,939;0,183
12,400;0,000;0,000;0,000;0,000;22,000;-22,000;-68,000;0,122;0,183;1999,939;0,122
12,500;0,000;0,000;0,000;0,000;22,000;-22,000;-68,000;0,061;0,183;1999,939;0,305
12,600;0,000;0,000;0,000;0,000;22,000;-22,000;-68,000;-0,061;0,183;1999,939;0,061
12,700;0,000;0,000;0,000;0,000;22,000;-22,000;-68,000;0,000;0,122;1999,939;0,183
12,800;0,000;0,000;0,000;0,000;22,000;-22,000;-68,000;0,122;0,122;1999,939;0,183
12,900;0,000;0,000;0,000;0,000;22,000;-22,000;-68,000;0,061;0,244;1999,939;0,244
13,000;0,000;0,000;0,000;0,000;22,000;-22,000;-68,000;-0,122;0,183;1999,939;0,183
13,100;0,000;0,000;0,000;0,000;22,000;-22,000;-75,872;-0,061;0,122;1999,939;0,122
13,200;0,000;0,000;0,000;0,000;22,000;-22,000;-90,000;0,183;0,244;1999,939;0,183
13,300;0,000;0,000;0,000;0,000;22,000;-22,000;-90,000;0,122;0,183;1999,939;0,183
13,400;0,000;0,000;0,000;0,000;22,000;-22,000;-90,000;0,122;0,244;1999,939;0,183
13,500;0,000;0,000;0,000;0,000;22,000;-22,000;-90,000;0,061;0,183;1999,939;0,183
13,600;0,000;0,000;0,000;0,000;22,000;-22,000;-90,000;0,000;0,183;1999,939;0,122
13,700;0,000;0,000;0,000;0,000;22,000;-22,000;-90,000;0,122;0,183;1999,939;0,183
13,800;0,000;0,000;0,000;0,000;22,000;-22,000;-90,000;0,061;0,183;1999,939;0,183
13,900;0,000;0,000;0,000;0,000;22,000;-22,000;-90,000;0,000;0,244;1999,939;0,122
14,000;0,000;0,000;0,000;0,000;22,000;-22,000;-90,000;0,061;0,244;1999,939;0,122
14,100;0,000;0,000;0,000;0,000;22,000;-22,000;-90,000;0,122;0,122;1999,939;0,122
14,200;0,000;0,000;0,000;0,000;22,000;-22,000;-90,000;0,061;0,244;1999,939;0,183
14,300;0,000;0,000;0,000;0,000;22,000;-22,000;-90,000;0,122;0,183;1999,939;0,183
14,400;0,000;0,000;0,000;0,000;22,000;-22,000;-90,000;0,000;0,183;1999,939;0,183
14,500;0,000;0,000;0,000;0,000;22,000;-22,000;-90,000;0,000;0,183;1999,939;0,122
14,600;0,000;0,000;0,000;0,000;22,000;-22,000;-90,000;0,061;0,183;1999,939;0,122
14,700;0,000;0,000;0,000;0,000;22,000;-22,000;-90,000;0,000;0,305;1999,939;0,183
14,800;0,000;0,000;0,000;0,000;22,000;-22,000;-90,000;0,000;0,122;1999,939;0,244
14,900;0,000;0,000;0,000;0,000;22,000;-22,000;-90,000;0,122;0,183;1999,939;0,244
15,000;0,000;0,000;0,000;0,000;22,000;-22,000;-90,000;0,000;0,244;1999,939;0,183
15,100;0,000;0,000;0,000;0,000;22,000;-22,000;-90,000;0,061;0,122;1999,939;0,183
15,200;0,000;0,000;0,000;0,000;22,000;-22,000;-90,000;0,061;0,244;1999,939;0,122
15,300;0,000;0,000;0,000;0,000;22,000;-22,000;-90,000;0,061;0,244;1999,939;0,122
15,400;0,000;0,000;0,000;0,000;22,000;-22,000;-90,000;0,000;0,183;1999,939;0,183
15,500;0,000;0,000;0,000;0,000;22,000;-22,000;-90,000;-0,061;0,183;1999,939;0,061
15,600;0,000;0,000;0,000;0,000;22,000;-22,000;-90,000;0,122;0,122;1999,939;0,183
15,700;0,000;0,000;0,000;0,000;22,000;-22,000;-90,000;0,061;0,183;1999,939;-0,061
15,800;0,000;0,000;0,000;0,000;22,000;-22,000;-90,000;0,000;0,244;1999,939;0,183
15,900;0,000;0,000;0,000;0,000;22,000;-22,000;-90,000;0,061;0,122;1999,939;0,183
16,000;0,000;0,000;0,000;0,000;22,000;-22,000;-90,000;0,000;0,183;1999,939;0,305
16,100;0,000;0,000;0,000;0,000;22,000;-22,000;-90,000;0,000;0,122;1999,939;0,183
16,200;0,000;0,000;0,000;0,000;22,000;-22,000;-90,000;0,000;0,122;1999,939;0,061
16,300;0,000;0,000;0,000;0,000;22,000;-22,000;-90,000;0,061;0,244;1999,939;0,061
16,400;0,000;0,000;0,000;0,000;22,000;-22,000;-90,000;0,122;0,244;1999,939;0,122
16,500;0,000;0,000;0,000;0,000;22,000;-22,000;-90,000;0,000;0,122;1999,939;0,183
16,600;0,000;0,000;0,000;0,000;22,000;-22,000;-90,000;0,000;0,183;1999,939;0,122
16,700;0,000;0,000;0,000;0,000;22,000;-22,000;-90,000;0,061;0,183;1999,939;0,183
16,800;0,000;0,000;0,000;0,000;22,000;-22,000;-90,000;0,122;0,183;1999,939;0,244
16,900;0,000;0,000;0,000;0,000;22,000;-22,000;-98,229;0,000;0,244;1999,939;0,183
17,000;0,000;0,000;0,000;0,000;22,000;-22,000;-104,771;0,061;0,183;1999,939;0,183
17,100;0,000;0,000;0,000;0,000;22,000;-22,000;-98,229;0,061;0,183;1999,939;0,244
17,200;0,000;0,000;0,000;0,000;22,000;-22,000;-113,000;0,061;0,122;1999,939;0,122
17,300;0,000;0,000;0,000;0,000;22,000;-22,000;-113,000;0,061;0,244;1999,939;0,122
17,400;0,000;0,000;0,000;0,000;22,000;-22,000;-113,000;0,000;0,122;1999,939;0,244
17,500;0,000;0,000;0,000;0,000;22,000;-22,000;-113,000;0,061;0,183;1999,939;0,244
17,600;0,000;0,000;0,000;0,000;22,000;-22,000;-113,000;-0,061;0,305;1999,939;0,183
17,700;0,000;0,000;0,000;0,000;22,000;-22,000;-104,771;0,000;0,122;1999,939;0,183
17,800;0,000;0,000;0,000;0,000;22,000;-22,000;-98,229;0,000;0,122;1999,939;0,183
17,900;0,000;0,000;0,000;0,000;22,000;-22,000;-104,771;0,000;0,244;1999,939;0,183
18,000;0,000;0,000;0,000;0,000;22,000;-22,000;-98,229;0,061;0,122;1999,939;0,183
18,100;0,000;0,000;0,000;0,000;22,000;-22,000;-113,000;0,000;0,122;1999,939;0,244
18,200;0,000;0,000;0,000;0,000;22,000;-22,000;-113,000;0,061;0,305;1999,939;0,183
